"Timestamp","Confidentiality and Privacy: We highly value your privacy. All responses you provide will be treated with strict confidentiality and anonymity. The results will only be examined in an aggregated manner. Your personal details will not be disclosed to any third parties, and the gathered data will solely be utilized for research purposes.
Voluntary Participation: Your involvement in this study is entirely optional, and you retain the right to withdraw at any point while the questionnaire is accessible for completion. However, we will appreciate if you take some time to fill it up.
Contact Information: If you have any questions or concerns regarding the study, please don't hesitate to reach out to us at mir.hossain01@northsouth.edu.
By selecting the ""I Agree"" checkbox below, you signify your voluntary consent to participate in this research study.","What is your age?","What is your Gender?","What is your Occupation?","How many hours per day, on average, do you spend on digital devices (smartphones, computers, tablets)?","Which digital device do you use most frequently? ","How often do you check your smartphone within an hour of waking up?","How often do you check your smartphone within an hour of going to bed?","Do you use technology for work or academic purposes?","How often do you use social media platforms?","How many hours per day do you typically spend watching TV or streaming services?","Do you use technology as a means of relaxation or entertainment?","What type of content do you most frequently consume online?","What emotions do you associate with your use of technology?","On a scale from 1 to 5, how would you rate your overall mental well-being currently? ","Over the past two weeks, how often have you experienced symptoms such as sadness, hopelessness, or a lack of interest or pleasure in activities?","How often do you find it difficult to concentrate or make decisions?","How would you describe the quality of your sleep over the past month?","Have you experienced changes in your appetite or weight (loss or gain) recently?","How often do you experience physical symptoms such as headaches, stomachaches, or other unexplained pains?","How would you rate your energy levels and motivation on an average day?","Do you engage in activities that you used to enjoy, or have you lost interest in them?","How often do you feel overwhelmed by stress?","Do you feel a sense of isolation or disconnection from others?","Do you have a support system or someone you feel comfortable talking to about your mental health?","How often do you engage in activities or practices that promote mental well-being (e.g., exercise, meditation, hobbies)?","Have you ever intentionally taken a break from using digital devices for a designated period (digital detox)?","If yes, how long was your longest digital detox?","What encouraged you to take a digital detox? ","How did you feel during your digital detox?","Did you set specific goals or rules for your digital detox? (e.g., no social media, no screens after a certain hour)","Would you consider making digital detox a regular practice in your life?","How did your digital detox experience impact your subsequent use of technology?","What is the biggest challenge that you faced during your digital detox, if any? ","How do you manage stress related to technology?","On a scale from 1 to 5, how effective do you find these strategies in managing stress related to technology? "," How often do you engage in physical activities (e.g., exercise, yoga) as a self-care practice to manage stress?","Are there any particular outdoor activities you find helpful in reducing stress related to technology? (e.g., walking, hiking, gardening)","What are your coping strategies for technology-related stress?"
"2023/10/11 3:35:19 PM GMT+6","I Agree","25","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Educational content","Stress","1","Almost all the time","Frequently","Poor","No changes","Frequently","Very low","Have lost interest","Frequently","Yes","No","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","FOMO (Fear of Missing Out)","Engage in outdoor activities","1","Frequently","Yes","I prefer to cope alone"
"2023/10/11 3:36:13 PM GMT+6","I Agree","18","Female","Student","3-4 hours","Smartphone","Occasionally","Always","Yes","Multiple times a day","1-2 hours","Yes","Social media updates","Relaxation","3","Frequently","Occasionally","Fair","Increased appetite","Frequently","Moderate","Still enjoy activities","Almost all the time","No","Yes","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Engage in outdoor activities","2","Never","Yes","I seek support from friends or family"
"2023/10/11 4:01:36 PM GMT+6","I Agree","19","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","1","Almost all the time","Occasionally","Fair","Increased appetite","Occasionally","Low","Have lost interest","Frequently","Yes","Yes","Rarely","Yes","More than a week","Curiosity or personal experiment","Anxious or stressed","No","No","No change","Boredom","Gaslighting myself ","1","Rarely","No","I prefer to cope alone"
"2023/10/11 4:04:46 PM GMT+6","I Agree","18","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Once a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","3","Almost all the time","Occasionally","Poor","No changes","Occasionally","Moderate","Have lost interest","Occasionally","Yes","No","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","3","Rarely","No","I prefer to cope alone"
"2023/10/11 4:17:50 PM GMT+6","I Agree","18","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","3-4 hours","Yes","Entertainment (videos, movies, music)","Relaxation","2","Occasionally","Occasionally","Poor","No changes","Occasionally","Moderate","Still enjoy activities","Occasionally","Yes","No","Occasionally","Yes","Less than a day","Improving productivity","No significant change","No","No","No change","Boredom","Engage in outdoor activities","3","Occasionally","Yes","I seek support from friends or family"
"2023/10/11 4:33:52 PM GMT+6","I Agree","29","Female","Employed (full-time)","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Stress","1","Almost all the time","Almost all the time","Fair","Weight loss","Frequently","Low","Have lost interest","Almost all the time","Yes","No","Rarely","Yes","More than a week","Feeling overwhelmed or stressed","Anxious or stressed","Yes","Yes","Used technology more mindfully","FOMO (Fear of Missing Out)","Take short breaks from screens","3","Frequently","Yes","I prefer to cope alone"
"2023/10/11 4:40:04 PM GMT+6","I Agree","18","Male","Student","5-6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","4","Occasionally","Occasionally","Good","Weight gain","Occasionally","Very High","Still enjoy activities","Occasionally","No","Yes","Occasionally","Yes","4-7 days","Improving productivity","No significant change","Yes","Yes","Used technology less","FOMO (Fear of Missing Out)","Take short breaks from screens","4","Never","Yes","I prefer to cope alone"
"2023/10/11 4:40:54 PM GMT+6","I Agree","17","Female","Student","5-6 hours","Tablet","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","2","Frequently","Frequently","Fair","Increased appetite","Frequently","Moderate","Still enjoy activities","Frequently","Yes","Yes","Rarely","Yes","Less than a day","Was having headaches ","Relaxed and refreshed","Yes","Yes","No change","None, it was easy and enjoyable","Set specific time limits for technology use","3","Never","Yes","I prefer to cope alone"
"2023/10/11 4:52:02 PM GMT+6","I Agree","28","Male","Unemployed","3-4 hours","Computer/Laptop","Often","Often","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Relaxation","4","Occasionally","Occasionally","Good","No changes","Rarely","Moderate","Still enjoy activities","Frequently","Yes","No","Rarely","Yes","Less than a day","Focusing on in-person relationships","No significant change","No","Yes","No change","None, it was easy and enjoyable","Take short breaks from screens","3","Frequently","Yes","I prefer to cope alone"
"2023/10/11 5:20:40 PM GMT+6","I Agree","31","Female","Homemaker","3-4 hours","Smartphone","Always","Always","No","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Joy","5","Occasionally","Occasionally","Good","No changes","Rarely","High","Still enjoy activities","Frequently","No","Yes","Almost daily","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","1","Always","Yes","I prefer to cope alone"
"2023/10/11 5:26:12 PM GMT+6","I Agree","25","Female","Employed (full-time)","3-4 hours","Smartphone","Occasionally","Occasionally","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","3","Occasionally","Occasionally","Poor","Increased appetite","Frequently","Moderate","Have lost interest","Occasionally","Yes","Yes","Occasionally","Yes","1-3 days","Noticing negative effects on mental health","Relaxed and refreshed","Yes","No","Used technology more mindfully","FOMO (Fear of Missing Out)","Practice mindfulness or meditation","3","Occasionally","Yes","I prefer to cope alone"
"2023/10/11 5:38:45 PM GMT+6","I Agree","18","Male","Student","More than 6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Joy","2","Frequently","Rarely","Very Poor","No changes","Rarely","High","Still enjoy activities","Occasionally","No","No","Rarely","No","Less than a day","N","Anxious or stressed","No","No","I have never practiced digital detox","I have never practiced digital detox","Engage in outdoor activities","1","Frequently","Yes","I prefer to cope alone"
"2023/10/11 5:45:06 PM GMT+6","I Agree","20","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Stress","4","Occasionally","Rarely","Good","No changes","Occasionally","Very low","Still enjoy activities","Occasionally","No","Yes","Occasionally","Yes","Less than a day","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology less","FOMO (Fear of Missing Out)","Take short breaks from screens","4","Rarely","Yes","I seek support from friends or family"
"2023/10/11 6:21:01 PM GMT+6","I Agree","22","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","5","Not at all","Occasionally","Good","No changes","Rarely","Very High","Still enjoy activities","Rarely","Yes","Yes","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","4","Never","No","I prefer to cope alone"
"2023/10/11 6:39:48 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Smartphone","Always","Often","Yes","Multiple times a day","3-4 hours","Yes","Entertainment (videos, movies, music)","Relaxation","3","Occasionally","Rarely","Good","No changes","Occasionally","Moderate","Have lost interest","Rarely","Yes","Yes","Rarely","Yes","Less than a day","Focusing on in-person relationships","No significant change","No","Yes","Used technology less","FOMO (Fear of Missing Out)","Talk to friends or family about technology-related stress","4","Rarely","Yes","I seek support from friends or family"
"2023/10/11 6:48:56 PM GMT+6","I Agree","21","Male","Student","More than 6 hours","Smartphone","Always","Often","Yes","Multiple times a day","Less than 1 hour","Yes","News and information","Excitement","2","Frequently","Almost all the time","Fair","Weight loss","Occasionally","Very low","Have lost interest","Frequently","Yes","Yes","Rarely","Yes","1-3 days","Improving productivity","Relaxed and refreshed","No","Yes","Used technology more mindfully","None, it was easy and enjoyable","Set specific time limits for technology use","4","Rarely","No","I seek support from friends or family"
"2023/10/11 7:01:54 PM GMT+6","I Agree","23","Male","Student","5-6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","News and information","Relaxation","3","Almost all the time","Frequently","Poor","Increased appetite","Occasionally","Low","Have lost interest","Frequently","Yes","Yes","Frequently","Yes","1-3 days","Focusing on in-person relationships","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","FOMO (Fear of Missing Out)","Take short breaks from screens","3","Frequently","Yes","I seek support from friends or family"
"2023/10/11 7:08:02 PM GMT+6","I Agree","20","Male","Student","More than 6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","3","Frequently","Occasionally","Poor","Weight loss","Occasionally","Low","Have lost interest","Occasionally","Yes","No","Rarely","Yes","1-3 days","Noticing negative effects on mental health","Anxious or stressed","No","No","No change","Difficulty staying disconnected","Take short breaks from screens","2","Rarely","Yes","I prefer to cope alone"
"2023/10/11 7:09:29 PM GMT+6","I Agree","24","Male","Employed (part-time)","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","All","Relaxation","4","Occasionally","Occasionally","Poor","No changes","Occasionally","Moderate","Still enjoy activities","Occasionally","No","Yes","Occasionally","Yes","1-3 days","Improving productivity","Relaxed and refreshed","Yes","Yes","No change","Social pressure to stay connected","Take short breaks from screens","4","Occasionally","Yes","I prefer to cope alone"
"2023/10/11 7:11:45 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Smartphone","Often","Rarely","Yes","Multiple times a day","Less than 1 hour","Yes","News and information","Relaxation","1","Almost all the time","Frequently","Poor","Loss of appetite","Almost all the time","Very low","Have lost interest","Almost all the time","Yes","No","Rarely","Yes","More than a week","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology less","FOMO (Fear of Missing Out)","Engage in outdoor activities","3","Occasionally","Yes","I attend social events or gatherings"
"2023/10/11 7:29:38 PM GMT+6","I Agree","23","Male","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Joy","3","Occasionally","Never","Fair","Weight gain","Occasionally","Moderate","Have lost interest","Occasionally","Yes","Yes","Occasionally","Yes","More than a week","Curiosity or personal experiment","Anxious or stressed","No","No","No change","FOMO (Fear of Missing Out)","Engage in outdoor activities","3","Frequently","Yes","I prefer to cope alone"
"2023/10/11 8:12:15 PM GMT+6","I Agree","18","Female","Student","3-4 hours","Computer/Laptop","Occasionally","Often","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Frustration","3","Frequently","Occasionally","Poor","Weight loss","Rarely","Moderate","Still enjoy activities","Occasionally","Yes","No","Rarely","Yes","1-3 days","Curiosity or personal experiment","No significant change","Yes","Yes","Used technology more mindfully","Boredom","Set specific time limits for technology use","3","Rarely","Yes","I prefer to cope alone"
"2023/10/11 8:37:47 PM GMT+6","I Agree","18","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","3","Occasionally","Occasionally","Poor","Increased appetite","Occasionally","Low","Have lost interest","Frequently","Yes","No","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","2","Occasionally","No","I prefer to cope alone"
"2023/10/11 8:39:16 PM GMT+6","I Agree","18","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","1","Almost all the time","Frequently","Fair","Weight loss","Frequently","Moderate","Have lost interest","Frequently","Yes","No","Rarely","No","I have never practiced digital detox","Improving productivity","No significant change","No","No","No change","Boredom","Take short breaks from screens","2","Never","No","I prefer to cope alone"
"2023/10/11 8:43:45 PM GMT+6","I Agree","18","Female","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Anxiety","2","Occasionally","Almost all the time","Poor","Loss of appetite","Frequently","Moderate","Have lost interest","Occasionally","Yes","No","Occasionally","Yes","More than a week","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","Social pressure to stay connected","Engage in outdoor activities","2","Occasionally","Yes","I attend social events or gatherings"
"2023/10/11 8:56:24 PM GMT+6","I Agree","18","Female","Student","5-6 hours","Smartphone","Occasionally","Occasionally","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Joy","3","Frequently","Occasionally","Fair","Increased appetite","Rarely","High","Have lost interest","Frequently","No","No","Occasionally","Yes","Less than a day","Improving productivity","No significant change","Yes","Yes","Used technology more mindfully","None, it was easy and enjoyable","Engage in conversations with parents about anything but technology and mental health","3","Rarely","Yes","I prefer to cope alone"
"2023/10/11 9:01:27 PM GMT+6","I Agree","22","Male","Student","3-4 hours","Smartphone","Occasionally","Occasionally","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","2","Occasionally","Never","Poor","No changes","Rarely","Moderate","Still enjoy activities","Occasionally","Yes","Yes","Occasionally","Yes","Less than a day","Focusing on in-person relationships","Anxious or stressed","Yes","Yes","Used technology more mindfully","Boredom","Practice mindfulness or meditation","3","Frequently","Yes","I prefer to cope alone"
"2023/10/11 9:10:22 PM GMT+6","I Agree","18","Male","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Frustration","3","Occasionally","Frequently","Good","Weight loss","Occasionally","Low","Have lost interest","Occasionally","Yes","No","Frequently","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","4","Occasionally","No","I prefer to cope alone"
"2023/10/11 9:11:41 PM GMT+6","I Agree","17","Female","Student","More than 6 hours","Smartphone","Often","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","4","Not at all","Rarely","Poor","No changes","Occasionally","Moderate","Still enjoy activities","Rarely","Yes","No","Rarely","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Talk to friends or family about technology-related stress","2","Never","No","I prefer to cope alone"
"2023/10/11 9:26:23 PM GMT+6","I Agree","18","Male","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Anxiety","1","Almost all the time","Frequently","Fair","Weight loss","Frequently","Very low","Have lost interest","Frequently","Yes","No","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","Yes","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","2","Occasionally","No","I prefer to cope alone"
"2023/10/11 9:26:41 PM GMT+6","I Agree","19","Male","Student","3-4 hours","Smartphone","Often","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Joy","3","Frequently","Occasionally","Good","No changes","Occasionally","High","Still enjoy activities","Rarely","Yes","Yes","Occasionally","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Take short breaks from screens","3","Rarely","No","I seek support from friends or family"
"2023/10/11 9:30:40 PM GMT+6","I Agree","22","Male","Student","More than 6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","1-2 hours","No","Educational content","Excitement","5","Occasionally","Frequently","Fair","No changes","Rarely","Moderate","Still enjoy activities","Occasionally","Yes","Yes","Almost daily","Yes","Less than a day","Improving productivity","Relaxed and refreshed","Yes","Yes","Used technology more mindfully","Boredom","Take short breaks from screens","4","Rarely","Yes","I seek support from friends or family"
"2023/10/11 9:31:35 PM GMT+6","I Agree","16","Female","Student","More than 6 hours","Computer/Laptop","Rarely","Always","Yes","Several times a week","3-4 hours","Yes","Entertainment (videos, movies, music)","Joy","2","Almost all the time","Frequently","Fair","Weight loss","Occasionally","Low","Still enjoy activities","Frequently","Yes","Yes","Rarely","Yes","Less than a day","Improving productivity","No significant change","No","No","No change","Boredom","Take short breaks from screens","2","Never","No","I prefer to cope alone"
"2023/10/11 9:41:32 PM GMT+6","I Agree","18","Male","Student","5-6 hours","Computer/Laptop","Often","Always","Yes","Multiple times a day","1-2 hours","Yes","Entertainment, social media updates, educational content, news and information","Joy","4","Occasionally","Rarely","Good","Increased appetite","Occasionally","High","Still enjoy activities","Frequently","Yes","Yes","Rarely","Yes","1-3 days","Noticing negative effects on mental health","Anxious or stressed","Yes","No","Used technology more mindfully","FOMO (Fear of Missing Out)","Engage in outdoor activities","3","Frequently","Yes","I attend social events or gatherings"
"2023/10/11 10:02:11 PM GMT+6","I Agree","18","Female","Student","More than 6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Sadness","1","Almost all the time","Frequently","Very Poor","Loss of appetite","Occasionally","Very low","Have lost interest","Frequently","Yes","No","Occasionally","Yes","Less than a day","Feeling overwhelmed or stressed","Anxious or stressed","Yes","No","Used technology more mindfully","Difficulty staying disconnected","Take short breaks from screens","4","Occasionally","Yes","I prefer to cope alone"
"2023/10/11 10:10:36 PM GMT+6","I Agree","24","Others","Employed (full-time)","5-6 hours","Smartphone","Often","Often","Yes","Multiple times a day","1-2 hours","Yes","Entertainment (videos, movies, music)","Joy","3","Occasionally","Occasionally","Poor","Weight gain","Rarely","Moderate","Still enjoy activities","Occasionally","No","Yes","Frequently","No","I have never practiced digital detox","I have never practiced digital detox","I have never practiced digital detox","No","No","I have never practiced digital detox","I have never practiced digital detox","Engage in outdoor activities","3","Frequently","Yes","I attend social events or gatherings"
"2023/10/11 10:14:04 PM GMT+6","I Agree","16","Female","Student","5-6 hours","Computer/Laptop","Always","Always","Yes","Multiple times a day","Less than 1 hour","Yes","Entertainment (videos, movies, music)","Relaxation","2","Almost all the time","Occasionally","Poor","Loss of appetite","Rarely","High","Still enjoy activities","Frequently","No","No","Occasionally","Yes","More than a week","Focusing on in-person relationships","No significant change","Yes","No","No change","Boredom","Unplug from technology for a designated period","4","Rarely","No","I attend social events or gatherings"
"2023/10/11 10:22:19 PM GMT+6","I Agree","18","Female","Student","5-6 hours","Smartphone","Always","Always","Yes","Multiple times a day","Less than 1 hour","No","Entertainment (videos, movies, music)","Frustration","3","Almost all the time","Frequently","Fair","Loss of appetite","Frequently","Low","Have lost interest","Frequently","Yes","Yes","Occasionally","Yes","Less than a day","Improving productivity","No significant change","No","Yes","No change","Boredom","Take short breaks from screens","1","Occasionally","No","I prefer to cope alone"
